49425,12799,6756,1750
68925,18401,9422,2515
74925,18937,10242,2589
76200,19050,10416,2604
80300,20106,10977,2748
87325,21830,11937,2984
93175,24562,12737,3358
132350,35027,18092,4788
141600,35838,19356,4899
149475,38680,20433,5287
150450,42596,20566,5823
150450,49039,20566,6703
150450,66331,20566,9067
150350,68293,20552,9335
154325,71907,21096,9829
155500,81096,21256,11086
155700,88344,21284,12076
155700,94257,21284,12885
155700,97031,21284,13264
162925,98149,22271,13417
170575,101597,23317,13888
178075,105858,24342,14470
192350,110396,26294,15091
193150,115268,26403,15757
193150,119590,26403,16348
193150,122020,26403,16680
196975,123443,26926,16874
229975,125765,31437,17192
240325,129936,32852,17762
245700,134002,33586,18318
248500,139147,33969,19021
248500,146082,33969,19969
248500,150934,33969,20632
256900,152874,35117,20897
260300,156255,35582,21360
270250,162273,36942,22182
271350,167436,37093,22888
271550,175138,37120,23941
271550,183831,37120,25129
271550,191008,37120,26110
271550,193617,37120,26467
271550,199151,37120,27223
299935,216223,41000,29557
299935,227403,41000,31085
299935,235141,41000,32143
299935,238279,41000,32572
304875,239927,41675,32797
315765,243650,43164,33306
319265,249559,43643,34114
332415,254334,45440,34767
342535,259538,46824,35478
342535,264741,46824,36189
342535,268406,46824,36690
372725,269941,50950,36900
399225,273350,54573,37366
409125,276891,55926,37850
421375,281467,57601,38476
426715,288625,58331,39454
426715,295046,58331,40332
124275,26409,2535,539
124275,39446,2535,804
159325,39564,3249,807
172000,40278,3508,821
183900,43280,3751,883
245100,48888,4999,997
283200,57105,5776,1165
326850,76528,6666,1561
377025,78134,7689,1594
378975,84040,7729,1714
435350,92300,8879,1882
444650,100567,9069,2051
444650,130795,9069,2668
483275,139200,9856,2839
493125,165919,10057,3384
519525,199314,10596,4065
521225,221540,10630,4518
521225,243737,10630,4971
521225,250612,10630,5111
569000,254959,11605,5200
634000,266444,12930,5434
655275,278993,13364,5690
659400,300915,13448,6137
659400,342436,13448,6984
659400,353974,13448,7219
659400,358280,13448,7307
680550,371882,13880,7584
765150,388339,15605,7920
799675,408428,16309,8330
799875,430597,16313,8782
804100,455173,16400,9283
804100,462332,16400,9429
804100,467636,16400,9537
823600,490969,16797,10013
861175,515802,17564,10520
911875,543237,18598,11079
936200,571115,19094,11648
963600,601159,19653,12261
965550,612254,19692,12487
1015775,636682,20717,12985
1032175,650020,21051,13257
1032175,672038,21051,13706
1077600,739132,21978,15075
1078800,776936,22002,15846
1082100,788613,22069,16084
1082100,793614,22069,16186
1084440,815108,22117,16624
1138650,839703,23223,17126
1170120,864757,23864,17637
1380380,893859,28153,18230
1402180,931090,28597,18989
1402280,942502,28599,19222
1402280,948393,28599,19342
1461320,972161,29803,19827
1469100,1000031,29962,20396
1530470,1032171,31214,21051
1556460,1064578,31744,21712
1628350,1099697,33210,22428
1628350,1110132,33210,22641
124325,30469,4120,1010
124325,39235,4120,1300
139400,40899,4619,1355
152175,40899,5043,1355
170700,40899,5656,1355
212700,40899,7048,1355
225100,40899,7459,1355
250200,40879,8291,1355
274400,40879,9093,1355
297800,94854,9868,3143
297800,108316,9868,3589
297800,118338,9868,3921
297800,142337,9868,4717
334825,173312,11095,5743
361550,173312,11981,5743
362050,201676,11997,6683
368650,201676,12216,6683
368650,214240,12216,7099
368650,221095,12216,7326
394775,236290,13082,7830
406175,252824,13459,8378
453300,252824,15021,8378
453500,269993,15027,8947
453700,288651,15034,9565
453700,303793,15034,10067
453700,311230,15034,10313
467800,314470,15501,10420
499325,322447,16546,10685
516925,338227,17129,11208
535550,351175,17746,11637
540050,374674,17895,12415
540050,393445,17895,13037
540050,401664,17895,13310
580775,404127,19245,13391
581875,418054,19281,13853
593775,430803,19676,14275
629900,447146,20873,14817
630700,457386,20899,15156
630700,472536,20899,15658
631675,483438,20932,16020
649225,486949,21513,16136
664225,490737,22010,16261
691525,517271,22915,17141
691525,520904,22915,17261
691525,528467,22915,17512
691525,535413,22915,17742
794230,540192,26318,17900
816730,554466,27064,18373
826130,572553,27375,18973
861230,597990,28538,19815
892660,622665,29580,20633
892660,649311,29580,21516
892660,661572,29580,21922
963040,670815,31912,22229
964840,687433,31972,22779
990640,704368,32827,23340
1064920,723756,35288,23983
1088150,744139,36058,24658
1088150,765260,36058,25358
8250,869,14814,1560
8250,1022,14814,1835
8250,1022,14814,1835
8250,1022,14814,1835
8250,1022,14814,1835
8250,1161,14814,2085
10650,1331,19124,2390
10650,2054,19124,3688
10650,2124,19124,3814
10650,2577,19124,4627
10650,2971,19124,5335
18450,3883,33130,6973
18450,4756,33130,8540
18450,5313,33130,9540
18450,5664,33130,10171
18450,6569,33130,11796
18450,6831,33130,12266
18450,8046,33130,14448
18450,8046,33130,14448
18450,8315,33130,14931
18450,9085,33130,16314
18450,9085,33130,16314
18450,9925,33130,17822
18450,9925,33130,17822
18450,9925,33130,17822
18450,10761,33130,19323
18450,10761,33130,19323
18450,11066,33130,19871
29450,11257,52883,20214
29450,12029,52883,21600
29450,12259,52883,22013
29450,12259,52883,22013
29450,12259,52883,22013
29450,12680,52883,22769
29450,13318,52883,23915
29450,13513,52883,24265
29450,15032,52883,26993
29450,15382,52883,27621
29450,15382,52883,27621
29450,16109,52883,28927
29450,16269,52883,29214
29450,16269,52883,29214
29450,16269,52883,29214
29450,17740,52883,31855
29450,18778,52883,33719
29450,18816,52883,33788
29450,18816,52883,33788
29450,19739,52883,35445
29450,19739,52883,35445
29450,20336,52883,36517
29450,20338,52883,36521
29450,20338,52883,36521
29450,20338,52883,36521
29450,21079,52883,37851
29450,21079,52883,37851
38810,21625,69691,38832
43210,21625,77592,38832
43210,21625,77592,38832
43210,21625,77592,38832
